Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
"County Intern-
ship Programme",,"County Intern-
ship Programme","42,000,000","2,939,600","39,060,400",7.0,474,0
"Mainstream
Public Sector
Integrity
programme &
Accountability",,"Mainstream Pub-
lic Sector Integrity
programme &
Accountability","2,800,000",-,"2,800,000",-,474,0
,,A,B,C=A-B,D=B/A*100,,475,0
,,"Public Evaluation
on County Public
Service Board
Performance","4,000,000","100,000","3,900,000",2.5,475,0
,,"Human Resource
Conference &
Symposium","4,000,000","247,000","3,753,000",6.2,475,0
,,"Exit Meetings Per
Department","2,438,076","1,559,100","878,976",63.9,475,0
,,"Assessment and
stake holder ca-
pacity mapping","5,579,752",,"5,579,752",-,475,0
Human resource,,Scheme of service,"3,200,000","254,800","2,945,200",8.0,475,0
,,"Performance
Appraisal","6,780,000","100,000","6,680,000",1.5,475,0
,,"Enhancing Lead-
ership in County
Public Service","3,141,800","79,300","3,062,500",2.5,475,0
,,"Performance
Management
Monitoring","1,970,860","161,250","1,809,610",8.2,475,0
,,"County Public
Service Pre-Re-
tirement Sensiti-
zation","2,397,520","297,350","2,100,170",12.4,475,0
,,"Evaluation of
Different Cadres
of Employees
(Promotion and
Re-Designation","2,595,308","100,000","2,495,308",3.9,475,0
"Quality
Management
Systems",,"Quality Man-
agement Systems
Development &
Establishment","3,000,000","433,626","2,566,374",14.5,475,0
,,"QMS Audit /Rou-
tine Inspection","3,218,040","132,000","3,086,040",4.1,475,0
,,"Documentation/
Record Manage-
ment for QMS","3,783,360","225,400","3,557,960",6.0,475,0
"Development
coordination
Programme",,"Donor scan/Map-
ping","5,041,530",-,"5,041,530",-,475,0
,,"Establishment
of development
committees","3,395,318","100,000","3,295,318",2.9,475,0
,,"Training of the
development
committees","3,381,753",-,"3,381,753",-,475,0
