Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,Disaster Mitigation Programmes,"2,901,096",-,"2,901,096",-,345,0
,"Stakeholders coordination and
Support Programme","1,713,185",-,"1,713,185",-,345,0
,"Humanitarian Relief Food Pro-
gramme","445,788,999","13,686,722","432,102,277",3.1,345,0
,Disaster Risk Management,"1,300,548",-,"1,300,548",-,345,0
Inspectorate Services,,"48,203,287","2,511,130","45,692,157",5.2,345,0
,Inspectorate Training Institute,"16,700,000","1,936,030","14,763,970",11.6,345,0
,Dispute Resolution,"4,000,000",-,"4,000,000",-,345,0
,Enforcement,"8,103,287",-,"8,103,287",-,345,0
,Capacity Building,"5,700,000","215,100","5,484,900",3.8,345,0
,Inspectorate Services,"6,000,000",-,"6,000,000",-,345,0
,Inspectorate Services Equipment,"7,700,000","360,000","7,340,000",4.7,345,0
"Human Resource Man-
agement",,"33,601,644","141,000","33,460,644",0.4,345,0
,Payroll and record management,"1,400,000",-,"1,400,000",-,345,0
,Human Resource Development,"7,000,000","141,000","6,859,000",2.0,345,0
,"GHRIS Leave & Performance
Module Implementation","3,900,000",-,"3,900,000",-,345,0
,"Digitization and Automation of
Human Resource Registry","2,650,000",-,"2,650,000",-,345,0
,"Mainstreaming Public Sector Integ-
rity Programme","4,800,000",-,"4,800,000",-,345,0
,County performance management,"4,800,000",-,"4,800,000",-,346,0
,Public Service Week,"4,550,000",-,"4,550,000",-,346,0
,Records Management,"1,500,548",-,"1,500,548",-,346,0
,Human Resource Management,"3,001,096",-,"3,001,096",-,346,0
,Office of the Deputy Governor,,,,-,346,0
"General Administra-
tion and Support
Services",,"18,840,532","1,093,264","17,747,268",5.8,346,0
,"General Admin Planning & Support
Services","18,840,532","1,093,264","17,747,268",5.8,346,0
"Government Program-
ming and Management",,"17,200,000","62,000","17,138,000",0.4,346,0
,Government Programming,"6,500,000",-,"6,500,000",-,346,0
,Community Engagement,"3,000,000",-,"3,000,000",-,346,0
,"Government Stakeholder Engage-
ment and Coordination","3,700,000","62,000","3,638,000",1.7,346,0
