county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
migori,2024_25,02,"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services",1700000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","HIV/AIDS manage-
ment",2000000.0,252000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services",Malaria Control,1400000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Non-Communicable
Diseases (NCDs",1400000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Disease surveillance/
Emergency prepared-
ness",950000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Maternal & Re-
productive Health
services",3160000.0,700000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Neonatal, Child,
Adolescent & Youth
health services",1800000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Expanded Program
for Immunization
(Immunization",3120000.0,400000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Gender-based vio-
lence health services",1200000.0,300000.0
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Hospital-Level
Services",,
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Ambulance & Refer-
ral Services",3200000.0,530591.0
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Health Products &
Technologies",53190996.0,19681271.0
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Diagnostic & Reha-
bilitation Services",7580000.0,4598920.0
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Health Services
Management Fund",136000000.0,
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services",,,
migori,2024_25,02,"Planning &
Administra-
tive Support
Services","Health Financing
& Universal Health
Coverage (UHC)
coordination",10000000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services",16850000.0,621400.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","HIV/AIDS manage-
ment",19170000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services",Malaria Control,14228000.0,330000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Non-Communicable
Diseases (NCDs",10630000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Disease surveillance/
Emergency prepared-
ness",11950000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Health promotion &
education",2800000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Maternal & Re-
productive Health
services",13500000.0,500000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Neonatal, Child,
Adolescent & Youth
health services",4000000.0,450000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Expanded Program
for Immunization
(Immunization)",12270000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services","Gender-ased vio-
lence health services",900000.0,150000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services","Environmental
Health & Sanitation
Services",1000000.0,200000.0
migori,2024_25,02,"Preventive
& Promotive
Health Services",County co-funding,12000000.0,
migori,2024_25,02,"Preventive
& Promotive
Health Services",,,
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Health Products &
Technologies",88900000.0,30694509.0
migori,2024_25,02,"Curative,
Rehabilitative
& Referral
Services","Diagnostic & Reha-
bilitation Services",1500000.0,
migori,2024_25,02,"Disaster Man-
agement and
Response",Fire Rescue Services,2800000.0,299950.0
migori,2024_25,02,"Administrative
and Support
Services",,,
mombasa,2024_25,02,Programme 6,Child Care,3000000.0,
mombasa,2024_25,02,HEALTH SERVICES,,,
mombasa,2024_25,02,Programme 7,"Preventive and Promotive
Health services",157680000.0,1021573.0
mombasa,2024_25,02,Programme 7,"Curative/Clinical Health
Services",132000000.0,
muranga,2024_25,02,Alcohol Program,"402034010 Preventive
and Promotive Care",,
nakuru,2024_25,02,DEPARTMENT OF HEALTH SERVICES,,,
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services","SP 2.1 Primary
Healthcare",823325.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services","SP 2.2 environmental
health and sanitation",2100000.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services","SP 2.3 Human re-
source",225039940.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services","SP 2.4 Disease surveil-
lance and emergency
response",1000000.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services","SP 2.5 Health promo-
tive",1000000.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services",SP 2.7 Nutrition,11500000.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services","SP 2.8 Reproductive
health",1250000.0,0.0
nakuru,2024_25,02,"Programme 2
health preventive
and promotive
services",SP 2.9 immunisation,2000000.0,0.0
nakuru,2024_25,02,"Programme 3
Health curative
and rehabilitative
services","SP 3.1 Provision of es-
sential health services
in all",1296505448.0,594415753.0
nakuru,2024_25,02,"Programme 3
Health curative
and rehabilitative
services","SP 3.2 Elimination
of communicable and
non-communicable
diseases",2300000.0,0.0
nakuru,2024_25,02,"Programme 3
Health curative
and rehabilitative
services","SP 3.3 Human re-
source",401873533.0,271257614.0
nakuru,2024_25,02,"Programme 3
Health curative
and rehabilitative
services",Sub-Total,6913254603.0,2692517550.0
narok,2024_25,02,401004610.0,Preventive &Promotive Health Services,481094035.0,0.0
nyamira,2024_25,02,"Medical support
services",Medical support services,158650000.0,0.0
nyamira,2024_25,02,"Medical support
services","Facility infrastructural
services",6000000.0,0.0
nyamira,2024_25,02,"Health Policy Planning
and Financing","Health Policy Planning
and Financing",1500000.0,0.0
nyamira,2024_25,02,"Health Policy Planning
and Financing","Promotive and preven-
tive health services",116821464.0,0.0
nyamira,2024_25,02,"Curative Health
Services","Facility infrastructural
services",,20102293.0
nyamira,2024_25,02,"Curative Health
Services",Sub Total,1226102127.0,401565816.0
samburu,2024_25,02,"Medical Services,
Public Health &
Sanitation","Medical Services, Public
Health & Sanitation",0.0,
samburu,2024_25,02,"Administration,
Planning and Sup-
port Services","Preventive and Promotive
Health Services",0.0,
samburu,2024_25,02,"Non-communi-
cable disease &
prevention control",Maternal Health Services,30.48,11.83
samburu,2024_25,02,"Non-communi-
cable disease &
prevention control",Health Promotive Services,83.06,37.01
samburu,2024_25,02,"County Referral
Services",Free Primary Healthcare,565.79,200.5
samburu,2024_25,02,"County Referral
Services","Provision of essential health
services in all levels",179.19,69.18
samburu,2024_25,02,"Administrative
services",,73.86,42.92
samburu,2024_25,02,"Administrative
services",Firefighting services,10.46,3.86
siaya,2024_25,02,Department of Health Services.,,,
siaya,2024_25,02,"Programme
1.","S.P. 2. Curative health-
care services",,
siaya,2024_25,02,"Programme
1.","S.P. 3. Preventive, pro-
motive & rehabilitative",,
trans,2024_25,02,"Administrative And Support
Services",,249215280.0,78120986.0
trans,2024_25,02,"Administrative And Support
Services",,44619504.0,19895808.0
trans,2024_25,02,"Administrative And Support
Services",,69511861.0,28645012.0
trans,2024_25,02,"Administrative And Support
Services",,107894296.0,34704762.0
trans,2024_25,02,"Administrative And Support
Services",,61966726.0,9661366.0
trans,2024_25,02,"Administrative And Support
Services",,161516309.0,27196248.0
trans,2024_25,02,"Administrative And Support
Services",,602729518.0,136398007.0
trans,2024_25,02,"Administrative And Support
Services",,667997575.0,190645691.0
trans,2024_25,02,"Administrative And Support
Services",,,
trans,2024_25,02,"Administrative and Support
Services",,609229731.0,314757668.0
trans,2024_25,02,"Administrative And Support
Services",,209709141.0,26996380.0
trans,2024_25,02,"Administrative And Support
Services",,62204964.0,10048323.0
trans,2024_25,02,"Administrative and Support
Services",,2302550904.0,866960491.0
trans,2024_25,02,"Administrative and Support
Services","Preventive Health
Services",,
trans,2024_25,02,"Administrative And Support
Services",,30334500.0,899900.0
trans,2024_25,02,"Administrative And Support
Services",,20716324.0,2164943.0
trans,2024_25,02,"Administrative And Support
Services",,121945126.0,3987165.0
trans,2024_25,02,"Administrative And Support
Services",,23900000.0,21876247.0
trans,2024_25,02,"Administrative And Support
Services",,724153000.0,213261650.0
turkana,2024_25,02,Health and Sanitation Services,,,
turkana,2024_25,02,Support to Health Programs,"HIV & AIDS, including community-based
HIV interventions",1500000.0,
turkana,2024_25,02,Support to Health Programs,Child Health,500000.0,
turkana,2024_25,02,Support to Health Programs,Reproductive health,2960000.0,
turkana,2024_25,02,Support to Health Programs,EPI/outreaches,2000000.0,
turkana,2024_25,02,Support to Health Programs,Adolescent Youth Repro. Health,500000.0,
turkana,2024_25,02,Support to Health Programs,Maternal and Neonatal Health,1500000.0,
turkana,2024_25,02,Support to Health Programs,Rural Health Facilities Support,500000.0,
turkana,2024_25,02,Medical Services,Laboratory Services,3000000.0,214200.0
turkana,2024_25,02,Medical Services,Blood Transfusion Services,1500000.0,117600.0
turkana,2024_25,02,Medical Services,Rehabilitative Services,800000.0,274400.0
turkana,2024_25,02,Medical Services,Referrals and Emergency Services,32000000.0,17988141.0
turkana,2024_25,02,Medical Services,Dental Services,500000.0,
turkana,2024_25,02,Medical Services,Clinical Services,1300000.0,160000.0
turkana,2024_25,02,Medical Services,Nursing Services,1700000.0,
turkana,2024_25,02,Medical Services,Sub county Health Facilities Support,2800000.0,549500.0
turkana,2024_25,02,Medical Supplies,Medical Supplies,309975942.0,177120869.0
turkana,2024_25,02,Medical Supplies,Health Management,1700000.0,
turkana,2024_25,02,"Policy, Planning, Monitoring
and Evaluation",Health Partners Coordination,1400000.0,466100.0
turkana,2024_25,02,Community Health Services,Community Health Services,1400000.0,886500.0
turkana,2024_25,02,Public Health,School Health,250000.0,
uasin,2024_25,02,4318- Health Services,,,
uasin,2024_25,02,4318- Health Services,Health Services,0.0,0.0
uasin,2024_25,02,4318- Health Services,Subtotal,1603.72,800.96
uasin,2024_25,02,4332- Promotive and Preventive Health,,,
uasin,2024_25,02,4332- Promotive and Preventive Health,Health Infrastructure,0.0,0.0
uasin,2024_25,02,4332- Promotive and Preventive Health,,,
uasin,2024_25,02,4332- Promotive and Preventive Health,"Administration And Support Ser-
vices",515.18,378.78
uasin,2024_25,02,4332- Promotive and Preventive Health,Ward Development Services,0.0,0.0
vihiga,2024_25,02,"Admin-
istration,
Planning
and Support
Service",Healthcare Financing,7100000.0,
vihiga,2024_25,02,"Promotive
and Preven-
tive Health-
care Services",,86792188.0,17947729.0
vihiga,2024_25,02,"Promotive
and Preven-
tive Health-
care Services",Public Health Services,246000.0,
vihiga,2024_25,02,"Promotive
and Preven-
tive Health-
care Services","Community Health
Strategy",80546188.0,16952729.0
vihiga,2024_25,02,"Promotive
and Preven-
tive Health-
care Services","Reproductive Health-
care",5000000.0,995000.0
vihiga,2024_25,02,"Curative And
Rehabilita-
tive Health
Services",,79515000.0,2831560.0
vihiga,2024_25,02,"Curative And
Rehabilita-
tive Health
Services",Medical services,5000000.0,2831560.0
vihiga,2024_25,02,"Curative And
Rehabilita-
tive Health
Services","Drugs and Other Med-
ical Supplies",74515000.0,
vihiga,2024_25,02,"Child and
Maternal
Health Care",,10000000.0,2426467.0
vihiga,2024_25,02,"Child and
Maternal
Health Care",Nutrition Services,10000000.0,2426467.0
west,2024_25,02,"Programme
4 -",SP 2-(Preventive Health Services),89125304.0,45724695.0
west,2024_25,02,"Programme
4 -",SP 3-(Curative Health Services),83052028.0,323698.0
bomet,2024_25,03,"Preventive and Promotive
Health Services",Preventive and Promotive Health Services,308100782.0,1110000.0
bomet,2024_25,03,"Preventive and Promotive
Health Services",Health promotion: Nutrition interventions,148140000.0,
bomet,2024_25,03,"Preventive and Promotive
Health Services",Communicable disease prevention & control,159960782.0,1110000.0
bomet,2024_25,03,Curative Health Services,Curative Health Services,256287510.0,77817046.0
bomet,2024_25,03,Curative Health Services,"Commodities, Pharmaceutical, non-pharmaceutical,
reagents, linen",247037510.0,75129116.0
bomet,2024_25,03,Curative Health Services,Emergency Response Services,9250000.0,2687930.0
bomet,2024_25,03,Curative Health Services,Reproductive Health Services,10000000.0,1017000.0
bomet,2024_25,03,Curative Health Services,"Immunisation, Mother and Child Services",10000000.0,1017000.0
bomet,2024_25,03,Curative Health Services,Health Infrastructure,165000000.0,16404842.0
bomet,2024_25,03,Curative Health Services,Medical equipment,20000000.0,4549800.0
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive","SP 2.1 Communicable and Non-com-
municable Disease Control",20.0,
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive",SP 2.2 Community Health Strategy,5.6,
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive",SP 2.3 Health Promotion,3.0,
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive","SP 2.6 Reproductive, Maternal, New-
born, Child, And Adolescent Health.",5.0,
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive",SP 2.7 Public Health and Sanitation,8.0,2.03
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive",Specialised Materials and Supplies,49.94,27.0
bungoma,2024_25,03,"Programme 2: Preventive
and Promotive",Hospital Facilities,1169.25,
bungoma,2024_25,03,"Programme 4: Service
Delivery and Organisational
Transformation",S.P.: Emergency Fund,,
busia,2024_25,03,Department of Health Services,,,
busia,2024_25,03,Programme 5.,"SP. 4. Ambulance and referral
services",,
embu,2024_25,03,Curative Health Services,Primary Health Care,896101630.0,743580895.0
embu,2024_25,03,"Preventive and Promotive Health
Services",Health Promotion & Disease Control,351742649.0,291874387.0
embu,2024_25,03,Curative Health Services,Primary Healthcare,326261524.0,33607875.0
embu,2024_25,03,"Preventive and Promotive Health
Services","Health Promotion and Disease
Control",89626113.0,9232297.0
garissa,2024_25,03,"P2: Curative
Services, Rehabili-
tative and Referral
Services","CSP 2.1 Health products
and technologies",208500000.0,69833145.0
garissa,2024_25,03,"P2: Curative
Services, Rehabili-
tative and Referral
Services","CSP 2.2 Rehabilitative
services",10000000.0,
garissa,2024_25,03,"P2: Curative
Services, Rehabili-
tative and Referral
Services","CSP 2.3 Referral and Emer-
gency Services",,
garissa,2024_25,03,"P2: Curative
Services, Rehabili-
tative and Referral
Services",Sub-Total,218500000.0,69833145.0
garissa,2024_25,03,"P2: Curative
Services, Rehabili-
tative and Referral
Services",,,
garissa,2024_25,03,"P3: Preventive and
promotive and RM-
NCH services","Maternal, newborn, child
health and nutrition
services",10000000.0,
garissa,2024_25,03,"P3: Preventive and
promotive and RM-
NCH services","Preventive And Promotive
Health Services",11000000.0,
homa,2024_25,03,"Financial management
services",Emergency Management Services,234935539.0,12000000.0
homa,2024_25,03,Department of Public Health and Medical Services,,,
homa,2024_25,03,"Preventive and
promotive health
services",Community health services,89620000.0,67740560.0
homa,2024_25,03,"Preventive and
promotive health
services",Disease control services,6000000.0,2492460.0
homa,2024_25,03,"Preventive and
promotive health
services","Facility Infrastructure Improvement
Services",145000000.0,91745004.0
homa,2024_25,03,"Preventive and
promotive health
services",Sub total,240620000.0,161978024.0
homa,2024_25,03,"Curative and rehabili-
tative health services",Routine medical health services,110890936.0,103836672.0
