Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,719034110,"Assessment and stake
holder capacity mapping","1,140,780","29,750","1,111,030",2.6,353,0
,719044110,"Regular Assessments of
Food, Flood and Conflict
Security","1,074,927",-,"1,074,927",-,353,0
720003000,,,"15,600,755","1,866,307","13,734,448",12.0,353,0
,720014110,Scheme of service,"1,850,548","226,037","1,624,511",12.2,353,0
,720024110,Performance Appraisal,"4,551,643","1,115,340","3,436,303",24.5,353,0
,720034110,"Enhancing Leadership In
County Public Service","1,387,911","200,000","1,187,911",14.4,354,0
,720044110,"Review and Development
of HR Policies","1,202,856",-,"1,202,856",-,354,0
,720054110,"Human Resource Devel-
opment/Career Progres-
sion","1,295,383",-,"1,295,383",-,354,0
,720064110,"Performance Manage-
ment Monitoring","1,156,592","226,000","930,592",19.5,354,0
,720074110,"Development of Data-
base Filing System","1,380,000",-,"1,380,000",-,354,0
,720084110,"County Public Serce
Pre-Retirement Sensiti-
zation","1,387,911",-,"1,387,911",-,354,0
,720094110,"Evaluation of Differ-
ent Cadres of Employ-
ees(Promotion, Re-Des-
ignation","1,387,911","98,930","1,288,981",7.1,354,0
721003000,,,"60,694,400","6,774,865","53,919,535",11.2,354,0
,721014110,"Construction of New As-
sembly Building","36,294,400","6,732,865","29,561,535",18.6,354,0
,721034110,Office of Speaker,"24,400,000","42,000","24,358,000",0.2,354,0
722003000,,,"100,134,957","14,629,553","85,505,404",14.6,354,0
,722014110,"Construction of Speak-
er's Residence","97,290,957","13,893,553","83,397,404",14.3,354,0
,722024110,"Purchase of land for con-
struction of speaker's res-
idence","2,844,000","736,000","2,108,000",25.9,354,0
723003000,,,"3,701,855",-,"3,701,855",-,354,0
,723014110,"Quality Management
Systems Development &
Establishment","1,265,278",-,"1,265,278",-,354,0
,723024110,"QMS Audit /Routine In-
spection","1,275,696",-,"1,275,696",-,354,0
,723034110,"Documentation/Record
Management For QMS","1,160,881",-,"1,160,881",-,354,0
724003000,,,"72,841,964","4,779,904","68,062,060",6.6,354,0
,724014110,"Budget Formulation,
Co-ordination and Man-
agement","54,053,172","4,070,420","49,982,752",7.5,354,0
,724024110,"Public Participation in
Budgeting","10,073,416","709,484","9,363,932",7.0,354,0
,724034110,"County Budget and Eco-
nomic Forum","8,715,376",-,"8,715,376",-,354,0
725003000,,,"6,423,287","2,388,756","4,034,531",37.2,354,0
,725014110,Resource Mobilisation,"6,423,287","2,388,756","4,034,531",37.2,354,0
726003000,,,"865,950,124","79,967,833","785,982,291",9.2,354,0
,726014110,"Finance and Shared Ser-
vices","833,248,124","79,967,833","753,280,291",9.6,354,0
,726024110,"Hansard Research and
information services","16,800,000",-,"16,800,000",-,354,0
,726034110,"County Assembly Service
Board.","15,902,000",-,"15,902,000",-,354,0
727003000,,,"5,014,280",-,"5,014,280",-,354,0
,727014110,Governors Press support,"5,014,280",-,"5,014,280",-,354,0
728003000,,,"17,502,192","2,882,550","14,619,642",16.5,354,0
,728014110,"Civic education Pro-
gramme","2,201,096",-,"2,201,096",-,354,0
,728024110,"Public Participation and
access to information","8,500,000","2,882,550","5,617,450",33.9,354,0
,728034110,County Dialogue Forum,"2,500,000",-,"2,500,000",-,355,0
,728044110,"National & County Hol-
idays","2,701,096",-,"2,701,096",-,355,0
,728054110,Policies Design,"1,600,000",-,"1,600,000",-,355,0
